"model","forecast_date","target","horizon","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"DougJudy",2021-12-15,"DAX","2 day",-4.01566553170731,-0.742520871561976,0.187982560144877,1.05005880843128,3.82390940639982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"DougJudy",2021-12-15,"DAX","5 day",-4.89969392385715,-1.15546394197118,-0.113120777238159,0.942244101143364,4.03750448555595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"DougJudy",2021-12-15,"DAX","6 day",-5.26481827398755,-1.14667138170928,-0.0097479611816647,1.14629713463618,4.59569564712623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"DougJudy",2021-12-15,"DAX","7 day",-5.93816162279174,-1.43466646653446,-0.0475227794407124,1.16486365432305,4.77669341361189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GeneralGrievous",2021-12-15,"DAX","1 day",-0.02,0.31,0.48,0.65,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GeneralGrievous",2021-12-15,"DAX","2 day",-0.04,0.29,0.46,0.63,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GeneralGrievous",2021-12-15,"DAX","5 day",-0.23,0.1,0.27,0.45,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GeneralGrievous",2021-12-15,"DAX","6 day",-0.06,0.27,0.44,0.62,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GeneralGrievous",2021-12-15,"DAX","7 day",-0.21,0.13,0.3,0.48,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GinaLinetti",2021-12-15,"DAX","1 day",-3.18923,-1.644035,-0.01486313,1.614309,3.159504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GinaLinetti",2021-12-15,"DAX","2 day",-4.616842,-2.451197,0.1678547,2.115488,4.281133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GinaLinetti",2021-12-15,"DAX","5 day",-5.465729,-3.267887,-0.9505977,1.366692,3.564534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GinaLinetti",2021-12-15,"DAX","6 day",-5.510918,-3.338572,-1.048164,1.242244,3.41459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GinaLinetti",2021-12-15,"DAX","7 day",-5.963251,-3.728087,-1.371448,0.9851916,3.220355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HanSolo",2021-12-15,"DAX","1 day",-2.75359619401842,-0.532687006456623,0.0463407686720494,0.830777628465034,1.98070695554619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HanSolo",2021-12-15,"DAX","2 day",-4.09976609198456,-0.460600347276082,0.146977472681041,1.0966266783254,3.01771704526232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HanSolo",2021-12-15,"DAX","5 day",-4.87652857482746,-1.04007913444499,0.144619868704843,1.28517938386187,2.73713825064684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HanSolo",2021-12-15,"DAX","6 day",-5.3433673499472,-1.35992361742805,0.227232193834856,1.39193919099714,3.76290812109648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HanSolo",2021-12-15,"DAX","7 day",-6.66300082659864,-0.564844994665717,0.286784889245978,1.52004636501472,4.32535285294722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HotPie",2021-12-15,"DAX","1 day",-1.54435157411565,-0.372967126613124,0.125002810147635,0.557564860492191,1.63128579253711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HotPie",2021-12-15,"DAX","2 day",-2.36841718842627,-0.774319103436913,0.428768112505168,1.21498429682865,2.41951578680012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HotPie",2021-12-15,"DAX","5 day",-3.03646663661543,-0.838669549999628,0.367072505549004,1.38957606835133,3.33285006296613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HotPie",2021-12-15,"DAX","6 day",-3.3915908744818,-1.03711950208695,0.390864271501414,1.56337495509888,3.94768050511213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
