"model","forecast_date","target","horizon","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"AryaStark",2021-12-22,"DAX","1 day",-2.69855888139939,-0.670119265160355,0.076818920279843,0.806872244747753,2.68561317897958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"AryaStark",2021-12-22,"DAX","2 day",-3.25879716904116,-0.794506564715527,0.148045767041077,1.02533483263323,3.15410191842155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"AryaStark",2021-12-22,"DAX","5 day",-3.78038733929777,-0.846432864750801,0.26533799941644,1.30442609812633,3.74283527557711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"AryaStark",2021-12-22,"DAX","6 day",-3.90076914862911,-0.907225007361827,0.209142673214488,1.23716843274944,3.62128306096514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"AryaStark",2021-12-22,"DAX","7 day",-4.72086838208161,-1.00503807480774,0.416202403339828,1.7347774783769,4.65722256370457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bronn",2021-12-22,"DAX","1 day",-2.8430213866531,-0.625391069832927,0.0799649459654169,0.759479626846485,2.68865072940413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bronn",2021-12-22,"DAX","2 day",-4.04179137511306,-0.929751414970368,0.163676431962295,1.13805106843343,3.62271226278905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bronn",2021-12-22,"DAX","5 day",-5.01730316038147,-1.10720755850953,0.241772893095069,1.45066097152763,4.39639231989042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bronn",2021-12-22,"DAX","6 day",-5.67609677848709,-1.24386983414819,0.299954505933015,1.67938937156982,4.92630418022732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bronn",2021-12-22,"DAX","7 day",-6.36746994436978,-1.36759114850574,0.383042911726614,1.94930258049477,5.48238787701071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"CaptainRaymondHolt",2021-12-22,"DAX","1 day",-3.12801263154997,-0.874605577461418,-0.0561084175481951,0.962880517164288,2.61572245941044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"CaptainRaymondHolt",2021-12-22,"DAX","2 day",-4.04063727299351,-1.09703374896819,-0.263410067407577,1.0992158929632,3.27274149850805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"CaptainRaymondHolt",2021-12-22,"DAX","5 day",-4.8402780785856,-1.2204684921481,-0.50658705494655,0.472214813811167,3.45346330927296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"CaptainRaymondHolt",2021-12-22,"DAX","6 day",-5.26164243905343,-1.50209916538717,-0.653116877887072,0.453933211985813,2.90092368015816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"CaptainRaymondHolt",2021-12-22,"DAX","7 day",-5.58070238591419,-2.5041210143772,-0.580202714826594,0.909510284716752,3.82355792821294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ChandlerBing",2021-12-22,"DAX","1 day",-2.31957461430063,-0.551185627077631,0.376690027194235,1.3045656814661,3.0729546686891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ChandlerBing",2021-12-22,"DAX","2 day",-2.12648171318015,-0.338456481124764,0.599722332493233,1.53790114611123,3.32592637816662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ChandlerBing",2021-12-22,"DAX","5 day",-0.640520285282786,1.15496870852727,2.09706376617951,3.03915882383175,4.83464781764181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
