"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"DougJudy","DAX","1 day",2021-11-24,-0.0010748537582319,-0.0010564148083037,-0.0010491479398657,-0.0010418810714277,-0.0010234421214996,0.24902742869326,0.0125051141225746,0.125041921750782,0.250076576633126,0.375103964647032,0.487599198088782,0.250065355048459,0.250076576633126,FALSE,FALSE,FALSE
"GinaLinetti","DAX","1 day",2021-11-24,-3.015,-0.462,0.078,0.667,2.558,0.24902742869326,0.163201371434663,0.35551371434663,0.17102742869326,0.20898628565337,0.115448628565337,0.202835485738652,0.17102742869326,TRUE,TRUE,FALSE
"CaptainRaymondHolt","DAX","1 day",2021-11-24,-2.8458267871838,-0.464261728841642,0.0754703798988565,0.66260132282272,2.50976839819233,0.24902742869326,0.154742710793853,0.356644578767451,0.173557048794404,0.20678694706473,0.113037048474953,0.200953666779078,0.173557048794404,TRUE,TRUE,FALSE
"Joey","DAX","1 day",2021-11-24,-7.67901329451497,-1.61085162304179,-0.759321553643545,0.0504005444417318,3.30702543002319,0.24902742869326,0.396402036160412,0.929939525867525,1.00834898233681,0.297940326377293,0.152899900066497,0.557106154161706,1.00834898233681,FALSE,TRUE,FALSE
"DexterJettster","DAX","1 day",2021-11-24,-1.75262785358933,-0.178594178312616,0.276622504006415,0.722129560712853,1.560635693774,0.24902742869326,0.10008276411413,0.213810803502938,0.0275950753131547,0.236551066009796,0.065580413254037,0.128724024438811,0.0275950753131547,TRUE,TRUE,FALSE
"AryaStark","DAX","1 day",2021-11-24,-1.29523610329974,-0.313759217627343,0.109818561748923,0.533396341125189,1.51487322679758,0.24902742869326,0.07721317659965,0.281393323160302,0.139208866944337,0.142184456215964,0.063292289905216,0.140658422565094,0.139208866944337,TRUE,TRUE,FALSE
"HanSolo","DAX","1 day",2021-11-24,-2.46773888731386,-0.504437096239199,0.102366180442569,0.728461384057831,2.50956944792101,0.24902742869326,0.135838315800356,0.37673226246623,0.146661248250691,0.239716977682285,0.113027100961387,0.20239518103219,0.146661248250691,TRUE,TRUE,FALSE
"ChandlerBing","DAX","1 day",2021-11-24,-1.44351459402044,-0.453618968219468,0.0657803596927185,0.585179687604905,1.57507531340588,0.24902742869326,0.084627101135685,0.351323198456364,0.183247069000542,0.168076129455822,0.0663023942356309,0.170715178456809,0.183247069000542,TRUE,TRUE,FALSE
"Joffrey_Baratheon","DAX","1 day",2021-11-24,-2.58030571821257,-0.705080150607082,0.0797998724109803,0.836400649689967,2.49715415952653,0.24902742869326,0.141466657345291,0.477053789650171,0.16922755628228,0.293686610498354,0.112406336541664,0.238768190063552,0.16922755628228,TRUE,TRUE,FALSE
"GeneralGrievous","DAX","1 day",2021-11-24,-0.360453072543904,-0.0532759798188311,0.107900179922581,0.269076339663993,0.576253432389066,0.24902742869326,0.0304740250618582,0.151151704256046,0.14112724877068,0.0100244554853661,0.0163613001847903,0.069827746751748,0.14112724877068,TRUE,TRUE,FALSE
"Bronn","DAX","1 day",2021-11-24,-2.46942883953703,-0.531562183387636,0.0751954095485681,0.676218447373848,2.37931203802057,0.24902742869326,0.135922813411515,0.390294806040448,0.173832019144692,0.213595509340294,0.106514230466366,0.204031875680663,0.173832019144692,TRUE,TRUE,FALSE
