"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"AryaStark","DAX","1 day",2022-01-12,-2.27326170778889,-0.552008300646713,0.0732200814245845,0.692509675117945,2.28083201991987,0.132760712578062,0.120301121018348,0.342384506612387,0.0595406311534772,0.279874481269942,0.107403565367091,0.181900861084249,0.0595406311534772,TRUE,TRUE,FALSE
"GinaLinetti","DAX","1 day",2022-01-12,-3.292446,-1.703183,-0.0275469,1.648089,3.237352,0.132760712578062,0.171260335628903,0.917971856289031,0.160307612578062,0.757664143710969,0.155229564371097,0.432486702515612,0.160307612578062,TRUE,TRUE,FALSE
"ChandlerBing","DAX","1 day",2022-01-12,-2.02343690780673,-0.576154629649903,0.18323597980513,0.942626589260162,2.38990886741698,0.132760712578062,0.107809881019239,0.354457671113982,0.0504752672270679,0.40493293834105,0.112857407741946,0.206106633088657,0.0504752672270679,TRUE,TRUE,FALSE
"Joffrey_Baratheon","DAX","1 day",2022-01-12,-2.67046827,-0.49698785,0.04509223,0.61710201,2.48667943,0.132760712578062,0.140161449128903,0.314874281289031,0.0876684825780617,0.242170648710969,0.117695935871097,0.180514159515612,0.0876684825780617,TRUE,TRUE,FALSE
"DougJudy","DAX","1 day",2022-01-12,-3.29245451388832,-0.661519569930205,0.109057699273773,0.884017042753772,3.27775979591027,0.132760712578062,0.171260761323319,0.397140141254133,0.0237030133042889,0.375628165087855,0.157249954166611,0.224996407027241,0.0237030133042889,TRUE,TRUE,FALSE
"Bronn","DAX","1 day",2022-01-12,-2.51200812730765,-0.541962194370299,0.0758114776579996,0.686154522567216,2.4119123377944,0.132760712578062,0.132238441994285,0.33736145347418,0.0569492349200621,0.276696904994577,0.113957581260817,0.183440723328784,0.0569492349200621,TRUE,TRUE,FALSE
"HotPie","DAX","1 day",2022-01-12,-1.55023995391206,-0.350253270135086,0.104220283859104,0.593773775154072,1.57278746819172,0.132760712578062,0.0841500333245061,0.241506991356574,0.0285404287189577,0.230506531288005,0.072001337780683,0.131341064493745,0.0285404287189577,TRUE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2022-01-12,-2.71099410396365,-0.496172661875782,0.0754703798988565,0.667302552216587,2.43822167008952,0.132760712578062,0.142187740827086,0.314466687226922,0.0572903326792052,0.267270919819263,0.115273047875573,0.17929774568561,0.0572903326792052,TRUE,TRUE,FALSE
"KyloRen","DAX","1 day",2022-01-12,-2.52655193466839,-0.449979040894166,0.0876331047625752,0.646886874569196,2.25756936236966,0.132760712578062,0.132965632362323,0.291369876736114,0.0451276078154865,0.257063080995567,0.10624043248958,0.166553326079814,0.0451276078154865,TRUE,TRUE,FALSE
"GeneralGrievous","DAX","1 day",2022-01-12,0.24,0.27,0.28,0.3,0.33,0.132760712578062,0.20911661047278,0.205858931132908,0.147239287421938,0.0836196437109692,0.00986196437109693,0.131139287421938,0.147239287421938,FALSE,FALSE,FALSE
