"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"CaptainRaymondHolt","DAX","1 day",2021-11-03,-2.50264090239192,-0.423577087562421,0.0696381082290642,0.662741706931413,2.50059826804639,0.435578844021123,0.146910987320652,0.429577965791772,0.365940735792059,0.113581431455145,0.103250971201263,0.231852418312178,0.365940735792059,TRUE,TRUE,FALSE
"AryaStark","DAX","1 day",2021-11-03,-2.04976467492226,-0.348449403815085,0.0329080399575071,0.464977819239363,1.69723920663692,0.435578844021123,0.124267175947169,0.392014123918104,0.402670804063616,0.0146994876091201,0.0630830181307899,0.19934692193376,0.402670804063616,TRUE,TRUE,FALSE
"Bronn","DAX","1 day",2021-11-03,-4.25707075623555,-0.907507286684517,0.153480890044122,1.11599310879407,3.82728361703172,0.435578844021123,0.234632480012833,0.67154306535282,0.282097953977001,0.340207132386472,0.16958523865053,0.339613174075931,0.282097953977001,TRUE,TRUE,FALSE
"ChandlerBing","DAX","1 day",2021-11-03,-1.61242913948872,-0.518582845710833,0.0553595124723942,0.629301870655622,1.72314816443351,0.435578844021123,0.102400399175492,0.477080844865978,0.380219331548729,0.0968615133172495,0.0643784660206195,0.224188110985614,0.380219331548729,TRUE,TRUE,FALSE
"KyloRen","DAX","1 day",2021-11-03,-2.40825688539379,-0.425750347720878,0.084357027409906,0.640956409371684,2.19185409013676,0.435578844021123,0.142191786470746,0.430664595871,0.351221816611217,0.102688782675281,0.0878137623057819,0.222916148786805,0.351221816611217,TRUE,TRUE,FALSE
"HanSolo","DAX","1 day",2021-11-03,-3.20932713191453,-0.578244202953418,0.0777342832969625,0.634355412822172,1.56714410735281,0.435578844021123,0.182245298796783,0.506911523487271,0.35784456072416,0.0993882844005246,0.0565782631665844,0.240593586115065,0.35784456072416,TRUE,TRUE,FALSE
"ObiWanKenobi","DAX","1 day",2021-11-03,-2.04077693818899,-0.38839125675774,-0.0986281008420548,0.23584970062329,1.23897553527746,0.435578844021123,0.123817789110506,0.411985050389431,0.534206944863178,0.299593715096749,0.0401698345628169,0.281954666804536,0.534206944863178,FALSE,TRUE,FALSE
"DougJudy","DAX","1 day",2021-11-03,0.341848346948058,0.341861201690401,0.341867946587903,0.341874691485405,0.341887546227749,0.435578844021123,0.00468652485365325,0.0468588211653608,0.0937108974332196,0.140556228803577,0.18269803069708,0.093702100590578,0.0937108974332196,FALSE,FALSE,FALSE
"GeneralGrievous","DAX","1 day",2021-11-03,-2.43275086837907,-0.794916315819992,0.0644572824239731,0.923830880667938,2.56166543322702,0.435578844021123,0.14341648562001,0.615247579920557,0.37112156159715,0.244126018323408,0.106304329460295,0.296043194984284,0.37112156159715,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2021-11-03,-2.02825713270737,-0.382000564657368,0.106464667575488,0.633568047304173,1.86431768894998,0.435578844021123,0.123191798836425,0.408789704339245,0.329114176445635,0.0989946016415251,0.0714369422464429,0.206305444701855,0.329114176445635,TRUE,TRUE,FALSE
