"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"AryaStark","DAX","1 day",2022-02-02,-2.35662151271144,-0.561658694292777,0.0721240358530217,0.707031177277061,2.35570918594027,-1.58351969172017,0.0386550910495635,1.53279149614109,1.65564372757319,1.14527543449862,0.196961443883022,0.913865438629096,1.65564372757319,FALSE,TRUE,FALSE
"GinaLinetti","DAX","1 day",2022-02-02,-3.292446,-1.703183,-0.0275469,1.648089,3.237352,-1.58351969172017,0.0854463154139915,0.059831654139915,1.55597279172017,1.61580434586008,0.241043584586009,0.711619738344034,1.55597279172017,TRUE,TRUE,FALSE
"ChandlerBing","DAX","1 day",2022-02-02,-2.69189813731717,-0.749952588873609,0.26898838471389,1.28792935830139,3.22987490674495,-1.58351969172017,0.0554189222798502,1.25035065426984,1.85250807643406,1.43572452501078,0.240669729923256,0.966934381583557,1.85250807643406,FALSE,TRUE,FALSE
"Joey","DAX","1 day",2022-02-02,-1.8856514,-0.49584133,0.42719722,1.522365,3.0830998,-1.58351969172017,0.0151065854139915,1.63151754258026,2.01071691172017,1.55294234586008,0.233330974586009,1.0887228720321,2.01071691172017,FALSE,TRUE,FALSE
"DougJudy","DAX","1 day",2022-02-02,-3.88868252842442,-0.80904565942052,0.117553834094111,1.02417306432443,3.82235271548463,-1.58351969172017,0.115258141835212,1.16171104844948,1.70107352581428,1.3038463780223,0.27029362036024,0.910436542896301,1.70107352581428,FALSE,TRUE,FALSE
"Bronn","DAX","1 day",2022-02-02,-2.28093891671056,-0.373512346746481,0.0502237426871562,0.548853487822727,1.99231297526486,-1.58351969172017,0.0348709612495197,1.81501101746053,1.63374343440733,1.06618658977145,0.178791633349252,0.945720727247616,1.63374343440733,FALSE,TRUE,FALSE
"HanSolo","DAX","1 day",2022-02-02,-2.94980361335905,-0.618587742215941,0.091216052764642,0.627301119466359,3.11359300952928,-1.58351969172017,0.0683141960819438,1.44739792425634,1.67473574448481,1.10541040559326,0.234855635062473,0.906142781095767,1.67473574448481,FALSE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2022-02-02,-2.7781019292039,-0.483787003227087,0.082567423590163,0.672571831317192,2.43822167008952,-1.58351969172017,0.0597291118741865,1.64959903273962,1.66608711531033,1.12804576151868,0.201087068090485,0.940909617906662,1.66608711531033,FALSE,TRUE,FALSE
"Joffrey_Baratheon","DAX","1 day",2022-02-02,-2.62808547560636,-0.675210397981024,-0.0755857368106314,1.30164113004133,1.81803234804055,-1.58351969172017,0.0522282891943097,1.36246394060872,1.50793395490954,1.44258041088075,0.170077601988036,0.907056839516271,1.50793395490954,FALSE,TRUE,FALSE
"GeneralGrievous","DAX","1 day",2022-02-02,-0.25,0.01,0.07,0.28,0.55,-1.58351969172017,2.60036339885433,2.39027953758026,1.65351969172017,0.931759845860085,0.106675984586009,1.53651969172017,1.65351969172017,FALSE,FALSE,FALSE
"CaptainRaymondHolt","DAX","1 day",2022-02-02,-2.54504294323372,-0.691981510142949,0.117242027362577,0.878678898331115,2.29149582351219,-1.58351969172017,0.0480761625756774,1.33730727236583,1.70076171908275,1.23109929502564,0.193750775761618,0.902199044962303,1.70076171908275,FALSE,TRUE,FALSE
